ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
29,MISSOURI,MO,Andrew,29003,"Andrew County, Missouri",432.6313458,17403,0,7321,70,6807,173,1477,361,276,92,28027,1198,972,171,3149,52,4012,0,2434,247,437,132,913,8,3,66,83,73,499,98,97,73,266,82,192,122,8.6,2.1,3.2,1.0,28027.0,1198.0,8.0,1.4,18.1,0.3,23.1,0.0,14.2,1.4,6.4,1.9,5.2,0.0,0.0,0.4,1.1,1.0,6.8,1.3,1.4,1.1,3.9,1.2,1.1,0.7,0.0439,0.0877,0.1404,0.0614,0.3334,0.0263,0.4386,0.5439,0.193,0.1754,1.3509,0.1053,0.2982,0.0,0.2982,0.0877,0.2895,0.2193,0.2018,0.114,0.1228,0.9474,0.0088,2.9299,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218,262,7.1,1.5,9479
29,MISSOURI,MO,Osage,29151,"Osage County, Missouri",606.5795092,13619,0,6622,63,5113,164,953,256,174,60,26037,1186,934,151,2280,15,3160,52,1741,185,231,70,367,54,13,65,89,34,432,102,89,44,222,60,284,145,7.2,1.9,2.4,0.8,26037.0,1186.0,10.1,1.6,16.7,0.1,23.2,0.4,12.9,1.4,4.5,1.4,2.7,0.4,0.1,0.5,1.3,0.5,6.5,1.5,1.7,0.9,4.3,1.2,2.1,1.1,0.0175,0.0088,0.2456,0.2018,0.4737,0.0439,0.2719,0.5702,0.0877,0.0439,0.9737,0.0614,0.0175,0.1491,0.1666,0.0439,0.3509,0.1842,0.3596,0.2105,0.5439,1.6491,0.1404,3.2631,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,153,5.3,1.1,10113
29,MISSOURI,MO,Atchison,29005,"Atchison County, Missouri",547.2851571,5270,0,2959,38,2505,91,530,100,90,26,29009,1704,369,64,1318,18,1014,16,961,92,134,34,171,15,7,56,21,16,104,46,19,14,143,39,113,48,10.2,1.9,3.3,1.0,29009.0,1704.0,9.4,1.6,25.0,0.3,19.2,0.3,18.6,1.7,5.3,1.4,3.2,0.3,0.1,1.1,0.7,0.5,3.5,1.6,0.8,0.6,5.7,1.5,2.1,0.9,0.0789,0.114,0.0702,0.1404,0.4035,0.0351,0.9474,0.0614,0.6754,0.0877,1.7719,0.3509,0.0439,0.1491,0.193,0.0614,0.1491,0.0702,0.0175,0.4386,0.5439,1.2193,0.0439,3.5877,0.0175,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,439,78,8.5,1.5,4157
29,MISSOURI,MO,Gasconade,29073,"Gasconade County, Missouri",519.0046073,14746,0,8203,61,6116,204,1423,272,172,72,27240,1910,1340,134,3216,37,3128,66,2573,244,313,74,582,35,22,67,40,26,729,122,46,29,238,64,258,129,9.8,1.9,2.4,1.0,27240.0,1910.0,12.7,1.3,21.8,0.3,21.2,0.4,17.8,1.6,5.1,1.2,3.9,0.2,0.2,0.5,0.5,0.3,8.9,1.5,0.8,0.5,3.9,1.0,1.7,0.9,0.0614,0.0088,0.1842,0.4298,0.6842,0.0789,0.8158,0.1842,0.5965,0.0789,1.6754,0.2544,0.0965,0.3246,0.4211,0.1842,0.0614,0.3333,0.0175,0.114,0.3947,0.9209,0.0,3.7016,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,964,176,6.7,1.2,12728
29,MISSOURI,MO,Ralls,29173,"Ralls County, Missouri",469.7809297,10217,0,5191,38,4004,156,1258,305,234,78,26536,2299,832,166,2087,21,2174,39,1453,165,270,75,454,17,22,65,26,23,678,142,54,41,146,60,91,71,12.5,3.0,4.5,1.5,26536.0,2299.0,11.4,2.3,20.4,0.2,21.3,0.4,14.3,1.6,6.7,1.9,4.4,0.2,0.2,0.7,0.5,0.4,13.1,2.7,1.3,1.0,3.6,1.5,0.9,0.7,0.1754,0.4123,0.2281,0.2982,1.114,0.2193,0.693,0.2105,0.2193,0.2105,1.3333,0.0877,0.1316,0.3246,0.4562,0.2018,0.0614,0.614,0.1667,0.0702,0.0439,0.9562,0.0175,3.8597,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,214,9.3,2.1,6607
29,MISSOURI,MO,St. Charles,29183,"St. Charles County, Missouri",560.4791617,389985,0,152117,841,144643,1052,21444,1703,7188,568,37229,522,13874,845,55482,0,92943,0,38879,1212,10529,620,48978,167,1965,361,12004,753,4315,321,1187,216,4016,414,7518,2177,5.6,0.4,3.3,0.3,37229.0,522.0,5.3,0.3,14.2,0.0,23.8,0.0,10.0,0.3,7.3,0.4,12.6,0.0,0.5,0.1,7.9,0.5,2.8,0.2,0.8,0.1,2.8,0.3,1.9,0.6,0.0,0.114,0.0175,0.0088,0.1403,0.0,0.0702,0.6842,0.0,0.2895,1.0439,0.0702,0.7807,0.6754,1.4561,0.7719,0.9211,0.0439,0.0175,0.0,0.4561,1.4386,0.0877,4.0789,0.0439,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,19191,1446,4.9,0.4,320872
29,MISSOURI,MO,Franklin,29071,"Franklin County, Missouri",922.7404038,102781,0,44794,79,40780,503,10999,1107,2246,353,28773,823,8476,574,16999,138,23863,48,13974,871,3298,468,5004,82,231,129,1554,315,3993,440,574,153,1944,352,880,162,10.8,1.1,4.3,0.7,28773.0,823.0,12.0,0.8,16.5,0.1,23.2,0.0,13.7,0.9,8.1,1.1,4.9,0.1,0.2,0.1,3.5,0.7,8.9,1.0,1.4,0.4,4.8,0.8,0.9,0.2,0.1053,0.3333,0.0877,0.3509,0.8772,0.1316,0.2544,0.5702,0.1667,0.4737,1.465,0.1667,0.2193,0.3246,0.5439,0.2632,0.7456,0.3333,0.2018,0.2895,0.0439,1.6141,0.1316,4.5002,0.0526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8357,857,8.2,0.8,96150
29,MISSOURI,MO,Chariton,29041,"Chariton County, Missouri",751.1776565,7546,0,4158,67,2779,135,871,157,106,42,24470,1863,528,105,1757,18,1731,22,1288,140,132,45,369,15,0,60,22,10,505,61,35,19,108,32,237,150,11.9,2.1,3.2,1.3,24470.0,1863.0,10.0,2.0,23.3,0.2,22.9,0.3,17.6,1.8,4.7,1.6,4.9,0.2,0.0,0.8,0.5,0.3,12.1,1.5,1.3,0.7,3.9,1.1,3.1,2.0,0.1491,0.0877,0.3333,0.193,0.7631,0.0965,0.886,0.4825,0.5789,0.0526,2.0,0.4912,0.2193,0.0,0.2193,0.0702,0.0614,0.5351,0.1667,0.114,0.6667,1.5439,0.1053,4.5263,0.0614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531,117,7.3,1.6,5193
29,MISSOURI,MO,Holt,29087,"Holt County, Missouri",462.6928974,4456,0,2776,67,2056,98,557,119,85,31,25517,1513,301,69,1063,14,909,0,761,74,132,37,171,11,0,44,31,20,231,46,5,12,172,52,109,48,12.9,2.8,4.0,1.5,25517.0,1513.0,9.1,2.1,23.9,0.3,20.4,0.0,17.5,1.6,6.4,1.8,3.8,0.2,0.0,1.0,1.1,0.7,8.3,1.7,0.2,0.6,8.4,2.6,2.4,1.1,0.2018,0.2456,0.2632,0.1228,0.8334,0.1053,0.9298,0.114,0.5526,0.1754,1.7718,0.3421,0.0789,0.0,0.0789,0.0175,0.2895,0.2982,0.0,0.8772,0.614,2.0789,0.2456,4.763,0.0702,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,379,94,8.7,2.2,3111
29,MISSOURI,MO,Platte,29165,"Platte County, Missouri",419.7857674,98824,0,41301,148,38613,489,6701,946,2028,350,39427,1393,3110,379,13705,113,23564,0,11432,638,3475,454,18288,93,798,277,5287,440,172,71,543,204,1695,272,789,217,6.9,1.0,3.7,0.6,39427.0,1393.0,4.6,0.6,13.9,0.1,23.8,0.0,11.7,0.6,9.0,1.2,18.5,0.1,0.9,0.3,12.8,1.1,0.4,0.2,1.4,0.5,4.4,0.7,0.8,0.2,0.0088,0.1754,0.0088,0.0,0.193,0.0088,0.0526,0.6842,0.0263,0.6842,1.4473,0.1579,0.886,0.807,1.693,0.8772,0.9561,0.0088,0.2018,0.2368,0.0263,1.4298,0.0789,4.7631,0.0789,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6122,809,6.2,0.8,90967
