ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
29,Missouri,MO,29001,Adair,29001,"Adair County, Missouri",567.323629704018,25468,0,11595,152,9078,308,7796,761,649,242,2467,333,1218,213,2147,457,3751,42,4768,139,3181,395,523,140,373,180,2772,170,364,114,917,198,55,35,661,193,2737,362,34.1,3.3,5.7,2.1,27.2,3.6,8.9,1.5,8.5,1.8,14.7,0.2,18.7,0.5,12.6,1.6,5.8,1.5,1.6,0.8,10.9,0.7,3.1,1.0,7.9,1.7,0.6,0.4,7.3,2.1,10.7,1.4,0.8684,0.7895,0.9123,0.1754,0.2456,2.9912,0.6667,0.0526,0.0614,0.0877,0.5789,0.9211,1.7017,0.0877,0.6842,0.6842,0.6842,0.7193,0.2719,0.0351,0.7807,0.9561,2.7631,0.6316,8.1402,0.4912,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,27775,3900,797,942,75,646,0,597,63,42,43,6,10,490,120,49,49,17.2,0.3,3.7,0.3,2.5,0.0,2.3,0.2,0.2,0.2,0.0,0.1,1.9,0.5,0.2,0.2
29,Missouri,MO,29003,Andrew,29003,"Andrew County, Missouri",432.631321132676,17554,0,7337,56,6799,152,2867,525,354,126,1357,253,905,193,1116,250,3367,41,4034,0,2361,332,308,104,4,74,1013,215,153,88,418,100,24,21,270,99,173,104,16.5,3.0,4.0,1.4,20.0,3.7,7.4,1.6,6.5,1.4,19.2,0.2,23.0,0.0,13.7,1.9,4.5,1.5,0.0,0.4,5.8,1.2,2.1,1.2,5.7,1.4,0.4,0.3,4.0,1.5,1.0,0.6,0.0789,0.3421,0.3246,0.0965,0.0614,0.9035,0.0789,0.4912,0.5614,0.1842,0.2895,0.0,1.5263,0.0702,0.307,0.307,0.307,0.5351,0.1491,0.0,0.1754,0.0877,0.9473,0.0,3.6841,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9987,3099,582,187,155,446,0,127,61,33,33,0,19,217,132,3,3,17.8,0.1,1.1,0.9,2.5,0.0,0.7,0.3,0.2,0.2,0.0,0.2,1.2,0.7,0.0,0.1
29,Missouri,MO,29005,Atchison,29005,"Atchison County, Missouri",547.285155982158,5180,0,2947,42,2549,87,1200,155,92,36,399,78,356,78,450,89,1320,14,1027,21,909,98,99,38,3,63,191,60,32,21,53,29,51,33,123,35,104,50,23.6,3.0,3.5,1.3,15.7,3.0,9.3,2.0,8.8,1.8,25.5,0.3,19.8,0.4,17.8,1.9,3.9,1.5,0.1,1.3,3.7,1.2,1.1,0.7,1.8,1.0,2.0,1.3,4.8,1.4,2.0,1.0,0.2895,0.2456,0.0439,0.193,0.2719,1.0439,0.1316,0.9386,0.0877,0.6053,0.1579,0.1491,1.9386,0.1842,0.0351,0.0351,0.0351,0.2632,0.0351,0.5439,0.3158,0.5175,1.6755,0.1316,4.6931,0.0702,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4030,817,134,21,16,76,0,4,8,48,24,0,17,42,22,0,0,16.1,0.2,0.4,0.3,1.5,0.0,0.1,0.1,0.9,0.5,0.0,0.6,0.8,0.4,0.0,0.6
29,Missouri,MO,29007,Audrain,29007,"Audrain County, Missouri",692.249287026218,25336,0,10909,79,9349,282,6926,826,583,179,1927,286,2377,371,2680,487,4516,42,5794,20,4280,433,628,160,145,114,3195,252,194,113,638,162,95,59,491,129,1743,173,29.4,3.5,5.0,1.5,20.6,3.0,13.6,2.1,11.3,2.1,17.8,0.2,22.9,0.1,18.1,1.8,6.7,1.7,0.6,0.5,12.6,1.0,1.8,1.0,5.8,1.5,1.0,0.6,5.3,1.4,6.9,0.7,0.6579,0.6842,0.4211,0.6579,0.5,2.9211,0.6491,0.2982,0.5175,0.6667,0.7456,0.7193,2.9473,0.7895,0.7632,0.7632,0.7632,0.4561,0.1667,0.114,0.4211,0.8596,2.0175,0.2368,8.6491,0.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22989,4442,520,1394,174,806,0,23,21,59,30,26,20,887,170,0,0,18.8,0.1,5.5,0.7,3.2,0.0,0.1,0.1,0.2,0.1,0.1,0.1,3.5,0.7,0.0,0.1
29,Missouri,MO,29009,Barry,29009,"Barry County, Missouri",778.121660643054,35615,0,17656,114,13872,465,10171,1051,514,189,2917,375,3922,469,4449,675,7547,107,8070,83,5514,553,716,223,860,288,5565,563,104,67,2880,363,619,180,530,139,301,92,29.1,3.0,3.3,1.2,21.0,2.6,15.7,1.9,12.6,1.9,21.2,0.3,22.7,0.2,15.6,1.6,5.2,1.6,2.6,0.9,15.6,1.6,0.6,0.4,16.3,2.0,4.5,1.3,3.8,1.0,0.8,0.3,0.6404,0.2105,0.4561,0.807,0.6228,2.7368,0.5789,0.6842,0.4649,0.4561,0.4298,0.9737,3.0087,0.8158,0.8246,0.8246,0.8246,0.0965,0.8158,0.9649,0.1491,0.0263,2.0526,0.2632,8.6227,0.614,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,33869,9230,1120,80,73,3342,0,508,309,162,102,0,25,1473,435,0,0,26.1,0.1,0.2,0.2,9.4,0.0,1.4,0.9,0.5,0.3,0.0,0.1,4.1,1.2,0.0,0.1
29,Missouri,MO,29011,Barton,29011,"Barton County, Missouri",592.029898612856,11732,0,5601,60,4830,173,3778,583,349,126,1235,216,1097,230,1539,370,2439,81,2756,45,2458,325,284,129,23,76,954,284,100,94,640,131,58,31,384,147,168,117,32.6,5.0,6.7,2.5,25.6,4.4,13.5,2.8,13.3,3.2,20.8,0.7,23.5,0.4,21.2,2.8,5.9,2.7,0.2,0.7,8.1,2.4,1.8,1.7,11.4,2.3,1.2,0.6,8.0,3.0,1.4,1.0,0.8158,0.886,0.8684,0.6316,0.693,3.8948,0.9035,0.6491,0.6491,0.7807,0.614,0.3158,3.0087,0.8158,0.614,0.614,0.614,0.4561,0.5351,0.1667,0.8596,0.2719,2.2894,0.3509,9.8069,0.8596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9097,2299,443,20,16,327,0,4,6,254,55,7,11,335,127,7,7,19.9,0.2,0.2,0.1,2.8,0.0,0.0,0.1,2.2,0.5,0.1,0.1,2.9,1.1,0.1,0.1
29,Missouri,MO,29013,Bates,29013,"Bates County, Missouri",836.695944478676,16282,0,7835,78,6565,193,4202,449,389,103,1481,222,1459,202,1517,223,3181,48,3828,39,2786,228,395,119,10,74,1068,152,44,44,1042,165,259,101,450,122,360,145,26.4,2.8,5.0,1.4,22.6,3.3,13.0,1.8,9.5,1.4,19.5,0.3,23.5,0.2,17.5,1.4,6.0,1.8,0.1,0.5,6.6,0.9,0.6,0.6,13.3,2.1,3.9,1.5,6.9,1.8,2.2,0.9,0.4561,0.6842,0.6579,0.5789,0.3246,2.7017,0.5702,0.5263,0.6491,0.5702,0.6316,0.1491,2.5263,0.5526,0.4737,0.4737,0.4737,0.0965,0.6491,0.9386,0.7193,0.5526,2.9561,0.7807,8.6578,0.6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,11750,3203,479,298,37,390,0,46,26,114,64,9,13,211,88,0,0,20.1,0.2,1.8,0.2,2.4,0.0,0.3,0.2,0.7,0.4,0.1,0.1,1.3,0.5,0.0,0.2
29,Missouri,MO,29015,Benton,29015,"Benton County, Missouri",704.032962922704,19305,0,14252,52,8060,330,5351,697,517,177,1950,350,2070,217,2147,369,5968,84,3344,50,4966,440,337,132,29,77,1067,204,147,68,3492,309,190,92,520,128,258,102,28.1,3.7,7.2,2.4,24.2,4.2,13.8,1.5,11.2,1.9,30.9,0.4,17.3,0.3,26.0,2.3,4.2,1.6,0.2,0.4,5.5,1.1,1.0,0.5,24.5,2.2,2.4,1.1,6.5,1.6,1.3,0.5,0.5965,0.9035,0.7807,0.6667,0.4825,3.4299,0.7807,0.9912,0.0263,0.9649,0.2193,0.3158,2.5175,0.5439,0.2456,0.2456,0.2456,0.2281,0.9737,0.693,0.6404,0.2368,2.772,0.6404,8.965,0.7193,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,16131,4104,599,80,42,401,0,14,24,170,71,0,19,402,100,0,0,21.5,0.1,0.4,0.2,2.1,0.0,0.1,0.1,0.9,0.4,0.0,0.2,2.1,0.5,0.0,0.2
29,Missouri,MO,29017,Bollinger,29017,"Bollinger County, Missouri",617.903963522752,12181,0,5877,45,4426,211,3703,594,294,121,1052,257,1430,262,1008,265,2437,8,2642,61,2676,285,157,85,11,75,545,157,32,30,802,168,126,73,269,106,211,110,30.7,4.9,5.5,2.3,23.8,5.7,16.4,3.0,8.3,2.2,20.0,0.1,21.7,0.5,22.1,2.3,3.5,1.9,0.1,0.6,4.5,1.3,0.5,0.5,13.6,2.9,2.8,1.6,6.1,2.4,1.7,0.9,0.7193,0.7632,0.7368,0.8421,0.2368,3.2982,0.7544,0.614,0.2982,0.8421,0.0965,0.1491,1.9999,0.2456,0.1053,0.1053,0.1053,0.0702,0.6754,0.8333,0.5351,0.3947,2.5087,0.4386,7.9121,0.4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7926,2203,429,68,61,170,0,0,19,92,82,0,19,175,91,40,40,18.4,0.2,0.6,0.5,1.4,0.0,0.0,0.3,0.8,0.7,0.0,0.3,1.4,0.7,0.3,0.5
29,Missouri,MO,29019,Boone,29019,"Boone County, Missouri",685.553401508576,179704,0,78373,324,71919,889,43095,2785,3454,536,20006,1257,5832,611,12202,1311,22027,103,36546,23,20693,1317,3975,625,1802,438,38835,1554,9854,811,3392,449,1448,308,4335,517,8927,768,25.3,1.6,3.5,0.5,27.8,1.7,5.4,0.6,6.8,0.7,12.3,0.1,20.3,0.0,11.6,0.7,5.5,0.9,1.1,0.3,21.6,0.9,12.6,1.0,4.3,0.6,2.0,0.4,6.0,0.7,5.0,0.4,0.386,0.2456,0.9211,0.0175,0.0789,1.6491,0.2456,0.0088,0.114,0.0439,0.5175,0.8333,1.5175,0.0614,0.9298,0.9298,0.9298,0.9474,0.0965,0.5439,0.5175,0.8158,2.9211,0.7632,7.0175,0.3333,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,203770,18475,1871,15910,871,6233,0,7879,536,578,156,145,93,7762,998,328,328,10.8,0.0,8.9,0.5,3.5,0.0,4.4,0.3,0.3,0.1,0.1,0.1,4.3,0.6,0.2,0.1
